,team_name,tournament_name,minute_label,minute_regulation,minute_stoppage,Event
1486,France,2006 FIFA World Cup,72',72,0,2
1487,Switzerland,2006 FIFA World Cup,72',72,0,2
1488,France,2006 FIFA World Cup,90'+3',90,3,2
1489,Switzerland,2006 FIFA World Cup,90'+3',90,3,2
1490,Croatia,2006 FIFA World Cup,32',32,0,2
1491,Brazil,2006 FIFA World Cup,42',42,0,2
1492,Croatia,2006 FIFA World Cup,67',67,0,2
1493,Croatia,2006 FIFA World Cup,90',90,0,2
1494,Ukraine,2006 FIFA World Cup,17',17,0,2
1495,Ukraine,2006 FIFA World Cup,47',47,0,3
1496,Ukraine,2006 FIFA World Cup,52',52,0,2
1497,Tunisia,2006 FIFA World Cup,35',35,0,2
1498,Tunisia,2006 FIFA World Cup,36',36,0,2
1499,Tunisia,2006 FIFA World Cup,65',65,0,2
1500,Tunisia,2006 FIFA World Cup,79',79,0,2
1501,Poland,2006 FIFA World Cup,3',3,0,2
1502,Poland,2006 FIFA World Cup,28',28,0,2
1503,Germany,2006 FIFA World Cup,58',58,0,2
1504,Germany,2006 FIFA World Cup,68',68,0,2
1505,Germany,2006 FIFA World Cup,70',70,0,2
1506,Poland,2006 FIFA World Cup,75',75,0,1
1507,Poland,2006 FIFA World Cup,89',89,0,2
1508,Costa Rica,2006 FIFA World Cup,10',10,0,2
1509,Costa Rica,2006 FIFA World Cup,28',28,0,2
1510,Ecuador,2006 FIFA World Cup,44',44,0,2
1511,Ecuador,2006 FIFA World Cup,54',54,0,2
1512,Ecuador,2006 FIFA World Cup,60',60,0,2
1513,Trinidad and Tobago,2006 FIFA World Cup,18',18,0,2
1514,Trinidad and Tobago,2006 FIFA World Cup,19',19,0,2
1515,Trinidad and Tobago,2006 FIFA World Cup,45'+1',45,1,2
1516,Trinidad and Tobago,2006 FIFA World Cup,47',47,0,2
1517,Trinidad and Tobago,2006 FIFA World Cup,55',55,0,2
1518,England,2006 FIFA World Cup,64',64,0,2
1519,Paraguay,2006 FIFA World Cup,3',3,0,2
1520,Sweden,2006 FIFA World Cup,14',14,0,2
1521,Sweden,2006 FIFA World Cup,48',48,0,2
1522,Paraguay,2006 FIFA World Cup,51',51,0,2
1523,Paraguay,2006 FIFA World Cup,54',54,0,2
1524,Sweden,2006 FIFA World Cup,60',60,0,2
1525,Paraguay,2006 FIFA World Cup,74',74,0,2
1526,Paraguay,2006 FIFA World Cup,85',85,0,2
1527,Serbia and Montenegro,2006 FIFA World Cup,7',7,0,2
1528,Serbia and Montenegro,2006 FIFA World Cup,27',27,0,2
1529,Argentina,2006 FIFA World Cup,36',36,0,2
1530,Serbia and Montenegro,2006 FIFA World Cup,42',42,0,2
1531,Serbia and Montenegro,2006 FIFA World Cup,65',65,0,3
1532,Ivory Coast,2006 FIFA World Cup,25',25,0,2
1533,Netherlands,2006 FIFA World Cup,34',34,0,2
1534,Netherlands,2006 FIFA World Cup,35',35,0,2
1535,Ivory Coast,2006 FIFA World Cup,41',41,0,2
1536,Netherlands,2006 FIFA World Cup,58',58,0,2
1537,Ivory Coast,2006 FIFA World Cup,66',66,0,2
1538,Netherlands,2006 FIFA World Cup,90'+4',90,4,2
1539,Angola,2006 FIFA World Cup,13',13,0,2
1540,Angola,2006 FIFA World Cup,44',44,0,2
1541,Angola,2006 FIFA World Cup,50',50,0,2
1542,Mexico,2006 FIFA World Cup,59',59,0,2
1543,Angola,2006 FIFA World Cup,79',79,0,1
1544,Angola,2006 FIFA World Cup,86',86,0,2
1545,Iran,2006 FIFA World Cup,20',20,0,2
1546,Iran,2006 FIFA World Cup,32',32,0,2
1547,Portugal,2006 FIFA World Cup,45'+1',45,1,2
1548,Portugal,2006 FIFA World Cup,48',48,0,2
1549,Portugal,2006 FIFA World Cup,61',61,0,2
1550,Iran,2006 FIFA World Cup,73',73,0,2
1551,Iran,2006 FIFA World Cup,88',88,0,2
1552,Ghana,2006 FIFA World Cup,18',18,0,2
1553,Ghana,2006 FIFA World Cup,37',37,0,2
1554,Czech Republic,2006 FIFA World Cup,49',49,0,2
1555,Czech Republic,2006 FIFA World Cup,65',65,0,3
1556,Ghana,2006 FIFA World Cup,66',66,0,2
1557,Ghana,2006 FIFA World Cup,75',75,0,2
1558,Ghana,2006 FIFA World Cup,84',84,0,2
1559,Ghana,2006 FIFA World Cup,90'+3',90,3,2
1560,Italy,2006 FIFA World Cup,5',5,0,2
1561,United States,2006 FIFA World Cup,21',21,0,2
1562,Italy,2006 FIFA World Cup,28',28,0,3
1563,United States,2006 FIFA World Cup,45',45,0,3
1564,United States,2006 FIFA World Cup,47',47,0,1
1565,Italy,2006 FIFA World Cup,70',70,0,2
1566,Japan,2006 FIFA World Cup,21',21,0,2
1567,Croatia,2006 FIFA World Cup,32',32,0,2
1568,Japan,2006 FIFA World Cup,42',42,0,2
1569,Croatia,2006 FIFA World Cup,69',69,0,2
1570,Japan,2006 FIFA World Cup,72',72,0,2
1571,Australia,2006 FIFA World Cup,13',13,0,2
1572,Brazil,2006 FIFA World Cup,29',29,0,2
1573,Brazil,2006 FIFA World Cup,31',31,0,2
1574,Australia,2006 FIFA World Cup,39',39,0,2
1575,Brazil,2006 FIFA World Cup,83',83,0,2
1576,South Korea,2006 FIFA World Cup,11',11,0,2
1577,South Korea,2006 FIFA World Cup,29',29,0,2
1578,France,2006 FIFA World Cup,79',79,0,2
1579,France,2006 FIFA World Cup,85',85,0,2
1580,Togo,2006 FIFA World Cup,45',45,0,2
1581,Togo,2006 FIFA World Cup,47',47,0,2
1582,Togo,2006 FIFA World Cup,53',53,0,2
1583,Switzerland,2006 FIFA World Cup,90'+2',90,2,2
1584,Ukraine,2006 FIFA World Cup,22',22,0,2
1585,Saudi Arabia,2006 FIFA World Cup,41',41,0,2
1586,Saudi Arabia,2006 FIFA World Cup,57',57,0,2
1587,Saudi Arabia,2006 FIFA World Cup,73',73,0,2
1588,Ukraine,2006 FIFA World Cup,77',77,0,2
1589,Ukraine,2006 FIFA World Cup,89',89,0,2
1590,Spain,2006 FIFA World Cup,30',30,0,2
1591,Tunisia,2006 FIFA World Cup,32',32,0,2
