,minute_regulation,match_id,player_id,family_name,given_name,Event
156,64,M-1978-09,P-07013,Martos,Győző,2
157,43,M-1978-11,P-05472,Bonhof,Rainer,2
158,44,M-1978-11,P-05318,Vázquez Ayala,Arturo,2
159,88,M-1978-12,P-00598,Six,Didier,2
160,60,M-1978-14,P-05509,Leal,Eugenio,2
161,25,M-1978-15,P-05989,van de Kerkhof,René,2
162,68,M-1978-19,P-03221,Dhiab,Tarak,2
163,87,M-1978-19,P-00973,Müller,Hansi,2
164,60,M-1978-20,P-04406,Benetti,Romeo,2
165,39,M-1978-22,P-01804,Borg,Hasse,2
166,35,M-1978-24,P-07268,Gemmill,Archie,2
167,75,M-1978-28,P-08328,Maculewicz,Henryk,2
168,80,M-1978-28,P-01744,Gallego,Américo,2
169,7,M-1978-29,P-01218,Manzo,Rodolfo,2
170,59,M-1978-29,P-05529,Gorgoń,Jerzy,2
171,75,M-1978-29,P-06421,Boniek,Zbigniew,2
172,89,M-1978-29,P-00571,Quiroga,Ramón,2
173,6,M-1978-31,P-04134,van de Kerkhof,Willy,2
174,84,M-1978-31,P-07375,Maier,Sepp,2
175,87,M-1978-31,P-00508,Nanninga,Dick,2
176,88,M-1978-31,P-00508,Nanninga,Dick,3
177,69,M-1978-33,P-06338,Prohaska,Herbert,2
178,69,M-1978-33,P-09321,Abramczik,Rüdiger,2
179,85,M-1978-33,P-09255,Sara,Robert,2
180,35,M-1978-34,P-07354,Rep,Johnny,2
181,40,M-1978-34,P-04406,Benetti,Romeo,2
182,50,M-1978-34,P-09015,Haan,Arie,2
183,65,M-1978-34,P-06485,Cabrini,Antonio,2
184,70,M-1978-34,P-07826,Tardelli,Marco,2
185,35,M-1978-37,P-04550,Nelinho,not applicable,2
186,44,M-1978-37,P-07388,Batista,not applicable,2
187,72,M-1978-37,P-03664,Gentile,Claudio,2
188,15,M-1978-38,P-00956,Krol,Ruud,2
189,40,M-1978-38,P-02797,Ardiles,Osvaldo,2
190,93,M-1978-38,P-06619,Larrosa,Omar,2
191,94,M-1978-38,P-07503,Suurbier,Wim,2
192,96,M-1978-38,P-03787,Poortvliet,Jan,2
